,Country_1,Country_2,LangSim
170,Serbia,Somali,15
171,Serbia,Hausa,10
172,Serbia,Persian,-1
173,Serbia,Urdu,-1
174,Serbia,Arabic,-1
175,Serbia,Israel,-1
176,Serbia,Norwegian Bokmål,-1
177,Serbia,Northern Sami,-1
178,Serbia,Tatar,-1
179,Serbia,Kazakh,-1
180,Serbia,Mandarin Chinese,-1
181,Serbia,Japanese,-1
182,Serbia,Thai,-1
183,Serbia,Lao,-1
184,Croatia,Serbia,30
185,Croatia,Croatia,100
186,Croatia,Slovenia,11
187,Croatia,Poland,14
188,Croatia,Slovakia,12
189,Croatia,CzechRepublic,12
190,Croatia,Ukraine,12
191,Croatia,Russia,9
192,Croatia,Macedonia,9
193,Croatia,Bulgaria,9
194,Croatia,Belarus,11
195,Croatia,Mongolian,10
196,Croatia,Occitan,-1
197,Croatia,Catalan,-1
198,Croatia,Galician,-1
199,Croatia,Spain,-1
200,Croatia,Interlingua,5
201,Croatia,Aragonese,-1
202,Croatia,Portugal,-1
203,Croatia,San Marino,-1
204,Croatia,Australia,4
205,Croatia,Esperanto,-1
206,Croatia,Afrikaans,-1
207,Croatia,Belgium,-1
208,Croatia,France,-1
209,Croatia,Welsh,-1
210,Croatia,Albania,13
211,Croatia,Basque,7
212,Croatia,Romania,4
213,Croatia,Tagalog,9
214,Croatia,Vietnamese,6
215,Croatia,Estonia,11
216,Croatia,Swahili,10
217,Croatia,Armenia,7
218,Croatia,Latvia,12
219,Croatia,Swizerland,5
220,Croatia,Turkey,8
221,Croatia,Korean,5
222,Croatia,Latin,-1
223,Croatia,Azerbaijan,7
224,Croatia,Lithuania,11
225,Croatia,Malta,10
226,Croatia,Zulu,-1
227,Croatia,Breton,-1
228,Croatia,Hungary,6
229,Croatia,Luxembourg,-1
230,Croatia,Finland,4
231,Croatia,Georgia,7
232,Croatia,Cyprus,5
233,Croatia,Yiddish,-1
234,Croatia,Igbo,5
235,Croatia,Maori,-1
236,Croatia,Yoruba,5
237,Croatia,Haitian Creole,6
238,Croatia,Manx,-1
239,Croatia,Gaelic,-1
240,Croatia,Ireland,-1
241,Croatia,Hindi,-1
242,Croatia,Sinhala,5
243,Croatia,Nepali,-1
244,Croatia,Marathi,-1
245,Croatia,Gujarati,-1
246,Croatia,Sanskrit,-1
247,Croatia,Punjabi,-1
248,Croatia,Bengali,-1
249,Croatia,Kannada,-1
250,Croatia,Telugu,-1
251,Croatia,Tamil,-1
252,Croatia,Khmer,-1
253,Croatia,Burmese,-1
254,Croatia,Denmark,-1
255,Croatia,Norwegian Nynorsk,-1
256,Croatia,Sweden,4
257,Croatia,Faroese,-1
258,Croatia,Iceland,-1
259,Croatia,Indonesian,-1
260,Croatia,Malay,-1
261,Croatia,Javanese,5
262,Croatia,Somali,4
263,Croatia,Hausa,4
264,Croatia,Persian,-1
265,Croatia,Urdu,-1
266,Croatia,Arabic,-1
267,Croatia,Israel,-1
268,Croatia,Norwegian Bokmål,-1
269,Croatia,Northern Sami,-1
270,Croatia,Tatar,-1
271,Croatia,Kazakh,-1
272,Croatia,Mandarin Chinese,-1
273,Croatia,Japanese,-1
274,Croatia,Thai,-1
275,Croatia,Lao,-1
276,Slovenia,Serbia,54
277,Slovenia,Croatia,17
278,Slovenia,Slovenia,100
279,Slovenia,Poland,12
280,Slovenia,Slovakia,13
281,Slovenia,CzechRepublic,10
282,Slovenia,Ukraine,11
283,Slovenia,Russia,7
284,Slovenia,Macedonia,8
285,Slovenia,Bulgaria,8
286,Slovenia,Belarus,10
287,Slovenia,Mongolian,10
288,Slovenia,Occitan,-1
289,Slovenia,Catalan,-1
290,Slovenia,Galician,-1
291,Slovenia,Spain,-1
292,Slovenia,Interlingua,-1
293,Slovenia,Aragonese,-1
294,Slovenia,Portugal,-1
295,Slovenia,San Marino,-1
296,Slovenia,Australia,-1
297,Slovenia,Esperanto,-1
298,Slovenia,Afrikaans,-1
299,Slovenia,Belgium,-1
300,Slovenia,France,-1
301,Slovenia,Welsh,-1
302,Slovenia,Albania,10
303,Slovenia,Basque,6
304,Slovenia,Romania,-1
305,Slovenia,Tagalog,7
306,Slovenia,Vietnamese,7
307,Slovenia,Estonia,10
308,Slovenia,Swahili,9
309,Slovenia,Armenia,8
310,Slovenia,Latvia,11
311,Slovenia,Swizerland,-1
312,Slovenia,Turkey,6
313,Slovenia,Korean,-1
314,Slovenia,Latin,-1
315,Slovenia,Azerbaijan,7
316,Slovenia,Lithuania,9
317,Slovenia,Malta,8
318,Slovenia,Zulu,-1
319,Slovenia,Breton,-1
320,Slovenia,Hungary,5
321,Slovenia,Luxembourg,-1
322,Slovenia,Finland,-1
323,Slovenia,Georgia,6
324,Slovenia,Cyprus,-1
325,Slovenia,Yiddish,-1
326,Slovenia,Igbo,5
327,Slovenia,Maori,-1
328,Slovenia,Yoruba,-1
329,Slovenia,Haitian Creole,5
330,Slovenia,Manx,-1
331,Slovenia,Gaelic,-1
332,Slovenia,Ireland,-1
333,Slovenia,Hindi,-1
334,Slovenia,Sinhala,5
335,Slovenia,Nepali,-1
336,Slovenia,Marathi,-1
337,Slovenia,Gujarati,-1
338,Slovenia,Sanskrit,-1
339,Slovenia,Punjabi,-1
340,Slovenia,Bengali,-1
341,Slovenia,Kannada,-1
342,Slovenia,Telugu,-1
343,Slovenia,Tamil,-1
344,Slovenia,Khmer,-1
345,Slovenia,Burmese,-1
346,Slovenia,Denmark,-1
347,Slovenia,Norwegian Nynorsk,-1
348,Slovenia,Sweden,-1
349,Slovenia,Faroese,-1
350,Slovenia,Iceland,-1
351,Slovenia,Indonesian,-1
352,Slovenia,Malay,-1
353,Slovenia,Javanese,-1
354,Slovenia,Somali,-1
355,Slovenia,Hausa,-1
356,Slovenia,Persian,-1
357,Slovenia,Urdu,-1
358,Slovenia,Arabic,-1
359,Slovenia,Israel,-1
360,Slovenia,Norwegian Bokmål,-1
361,Slovenia,Northern Sami,-1
362,Slovenia,Tatar,-1
363,Slovenia,Kazakh,-1
364,Slovenia,Mandarin Chinese,-1
365,Slovenia,Japanese,-1
366,Slovenia,Thai,-1
367,Slovenia,Lao,-1
368,Poland,Serbia,22
369,Poland,Croatia,14
370,Poland,Slovenia,8
371,Poland,Poland,100
372,Poland,Slovakia,11
373,Poland,CzechRepublic,15
374,Poland,Ukraine,9
375,Poland,Russia,15
376,Poland,Macedonia,8
377,Poland,Bulgaria,9
378,Poland,Belarus,10
379,Poland,Mongolian,7
380,Poland,Occitan,-1
381,Poland,Catalan,8
382,Poland,Galician,-1
383,Poland,Spain,9
384,Poland,Interlingua,5
385,Poland,Aragonese,-1
386,Poland,Portugal,6
387,Poland,San Marino,7
388,Poland,Australia,12
389,Poland,Esperanto,7
390,Poland,Afrikaans,-1
391,Poland,Belgium,6
392,Poland,France,7
393,Poland,Welsh,3
394,Poland,Albania,9
395,Poland,Basque,5
396,Poland,Romania,5
397,Poland,Tagalog,6
398,Poland,Vietnamese,6
399,Poland,Estonia,8
400,Poland,Swahili,6
401,Poland,Armenia,7
402,Poland,Latvia,7
403,Poland,Swizerland,9
404,Poland,Turkey,6
405,Poland,Korean,5
406,Poland,Latin,-1
407,Poland,Azerbaijan,5
408,Poland,Lithuania,6
409,Poland,Malta,6
410,Poland,Zulu,-1
411,Poland,Breton,-1
412,Poland,Hungary,6
413,Poland,Luxembourg,-1
414,Poland,Finland,4
