Eurovision Song Contest 2 16 Grand Final,Eurovision Song Contest 2 16 Grand Final,,,,,
Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2 17,f,2 17f,T,Ireland,Germany,0
2 17,f,2 17f,T,Ireland,Greece,0
2 17,f,2 17f,T,Ireland,Hungary,2
2 17,f,2 17f,T,Ireland,Israel,0
2 17,f,2 17f,T,Ireland,Italy,1
2 17,f,2 17f,T,Ireland,Moldova,8
2 17,f,2 17f,T,Ireland,Norway,0
2 17,f,2 17f,T,Ireland,Poland,7
2 17,f,2 17f,T,Ireland,Portugal,1
2 17,f,2 17f,T,Ireland,Romania,12
2 17,f,2 17f,T,Ireland,Spain,0
2 17,f,2 17f,T,Ireland,Sweden,0
2 17,f,2 17f,T,Ireland,Netherlands,0
2 17,f,2 17f,T,Ireland,Ukraine,0
2 17,f,2 17f,T,Ireland,United Kingdom,4
2 17,f,2 17f,T,Israel,Armenia,0
2 17,f,2 17f,T,Israel,Australia,0
2 17,f,2 17f,T,Israel,Austria,0
2 17,f,2 17f,T,Israel,Azerbaijan,0
2 17,f,2 17f,T,Israel,Belarus,2
2 17,f,2 17f,T,Israel,Belgium,6
2 17,f,2 17f,T,Israel,Bulgaria,1
2 17,f,2 17f,T,Israel,Croatia,0
2 17,f,2 17f,T,Israel,Cyprus,0
2 17,f,2 17f,T,Israel,Denmark,0
2 17,f,2 17f,T,Israel,France,4
2 17,f,2 17f,T,Israel,Germany,0
2 17,f,2 17f,T,Israel,Greece,0
2 17,f,2 17f,T,Israel,Hungary,1
2 17,f,2 17f,T,Israel,Italy,8
2 17,f,2 17f,T,Israel,Moldova,5
2 17,f,2 17f,T,Israel,Norway,0
2 17,f,2 17f,T,Israel,Poland,0
2 17,f,2 17f,T,Israel,Portugal,12
2 17,f,2 17f,T,Israel,Romania,7
2 17,f,2 17f,T,Israel,Spain,0
2 17,f,2 17f,T,Israel,Sweden,3
2 17,f,2 17f,T,Israel,Netherlands,0
2 17,f,2 17f,T,Israel,Ukraine,0
2 17,f,2 17f,T,Israel,United Kingdom,0
2 17,f,2 17f,T,Italy,Armenia,0
2 17,f,2 17f,T,Italy,Australia,0
2 17,f,2 17f,T,Italy,Austria,0
2 17,f,2 17f,T,Italy,Azerbaijan,0
2 17,f,2 17f,T,Italy,Belarus,0
2 17,f,2 17f,T,Italy,Belgium,2
2 17,f,2 17f,T,Italy,Bulgaria,8
2 17,f,2 17f,T,Italy,Croatia,6
2 17,f,2 17f,T,Italy,Cyprus,0
2 17,f,2 17f,T,Italy,Denmark,0
2 17,f,2 17f,T,Italy,France,1
2 17,f,2 17f,T,Italy,Germany,0
2 17,f,2 17f,T,Italy,Greece,0
2 17,f,2 17f,T,Italy,Hungary,4
2 17,f,2 17f,T,Italy,Israel,0
2 17,f,2 17f,T,Italy,Moldova,12
2 17,f,2 17f,T,Italy,Norway,0
2 17,f,2 17f,T,Italy,Poland,3
2 17,f,2 17f,T,Italy,Portugal,5
2 17,f,2 17f,T,Italy,Romania,1
2 17,f,2 17f,T,Italy,Spain,0
2 17,f,2 17f,T,Italy,Sweden,0
2 17,f,2 17f,T,Italy,Netherlands,0
2 17,f,2 17f,T,Italy,Ukraine,7
2 17,f,2 17f,T,Italy,United Kingdom,0
2 17,f,2 17f,T,Latvia,Armenia,0
2 17,f,2 17f,T,Latvia,Australia,0
2 17,f,2 17f,T,Latvia,Austria,0
2 17,f,2 17f,T,Latvia,Azerbaijan,0
2 17,f,2 17f,T,Latvia,Belarus,6
2 17,f,2 17f,T,Latvia,Belgium,12
2 17,f,2 17f,T,Latvia,Bulgaria,7
2 17,f,2 17f,T,Latvia,Croatia,0
2 17,f,2 17f,T,Latvia,Cyprus,0
2 17,f,2 17f,T,Latvia,Denmark,0
2 17,f,2 17f,T,Latvia,France,0
2 17,f,2 17f,T,Latvia,Germany,0
2 17,f,2 17f,T,Latvia,Greece,0
2 17,f,2 17f,T,Latvia,Hungary,2
2 17,f,2 17f,T,Latvia,Israel,0
2 17,f,2 17f,T,Latvia,Italy,3
2 17,f,2 17f,T,Latvia,Moldova,8
2 17,f,2 17f,T,Latvia,Norway,1
2 17,f,2 17f,T,Latvia,Poland,0
2 17,f,2 17f,T,Latvia,Portugal,1
2 17,f,2 17f,T,Latvia,Romania,5
2 17,f,2 17f,T,Latvia,Spain,0
2 17,f,2 17f,T,Latvia,Sweden,4
2 17,f,2 17f,T,Latvia,Netherlands,0
2 17,f,2 17f,T,Latvia,Ukraine,0
2 17,f,2 17f,T,Latvia,United Kingdom,0
2 17,f,2 17f,T,Lithuania,Armenia,0
2 17,f,2 17f,T,Lithuania,Australia,0
2 17,f,2 17f,T,Lithuania,Austria,0
2 17,f,2 17f,T,Lithuania,Azerbaijan,0
2 17,f,2 17f,T,Lithuania,Belarus,1
2 17,f,2 17f,T,Lithuania,Belgium,1
2 17,f,2 17f,T,Lithuania,Bulgaria,7
2 17,f,2 17f,T,Lithuania,Croatia,0
2 17,f,2 17f,T,Lithuania,Cyprus,0
2 17,f,2 17f,T,Lithuania,Denmark,0
2 17,f,2 17f,T,Lithuania,France,0
2 17,f,2 17f,T,Lithuania,Germany,0
2 17,f,2 17f,T,Lithuania,Greece,0
2 17,f,2 17f,T,Lithuania,Hungary,2
2 17,f,2 17f,T,Lithuania,Israel,0
2 17,f,2 17f,T,Lithuania,Italy,5
2 17,f,2 17f,T,Lithuania,Moldova,8
2 17,f,2 17f,T,Lithuania,Norway,6
2 17,f,2 17f,T,Lithuania,Poland,0
2 17,f,2 17f,T,Lithuania,Portugal,12
2 17,f,2 17f,T,Lithuania,Romania,4
2 17,f,2 17f,T,Lithuania,Spain,0
2 17,f,2 17f,T,Lithuania,Sweden,3
2 17,f,2 17f,T,Lithuania,Netherlands,0
2 17,f,2 17f,T,Lithuania,Ukraine,0
2 17,f,2 17f,T,Lithuania,United Kingdom,0
2 17,f,2 17f,T,Malta,Armenia,0
2 17,f,2 17f,T,Malta,Australia,0
2 17,f,2 17f,T,Malta,Austria,0
2 17,f,2 17f,T,Malta,Azerbaijan,0
2 17,f,2 17f,T,Malta,Belarus,0
2 17,f,2 17f,T,Malta,Belgium,5
2 17,f,2 17f,T,Malta,Bulgaria,1
2 17,f,2 17f,T,Malta,Croatia,3
2 17,f,2 17f,T,Malta,Cyprus,0
2 17,f,2 17f,T,Malta,Denmark,0
2 17,f,2 17f,T,Malta,France,0
2 17,f,2 17f,T,Malta,Germany,0
2 17,f,2 17f,T,Malta,Greece,0
2 17,f,2 17f,T,Malta,Hungary,2
2 17,f,2 17f,T,Malta,Israel,0
2 17,f,2 17f,T,Malta,Italy,12
2 17,f,2 17f,T,Malta,Moldova,1
2 17,f,2 17f,T,Malta,Norway,0
2 17,f,2 17f,T,Malta,Poland,0
2 17,f,2 17f,T,Malta,Portugal,8
2 17,f,2 17f,T,Malta,Romania,6
2 17,f,2 17f,T,Malta,Spain,0
2 17,f,2 17f,T,Malta,Sweden,7
2 17,f,2 17f,T,Malta,Netherlands,0
2 17,f,2 17f,T,Malta,Ukraine,0
2 17,f,2 17f,T,Malta,United Kingdom,4
2 17,f,2 17f,T,Moldova,Armenia,0
2 17,f,2 17f,T,Moldova,Australia,0
2 17,f,2 17f,T,Moldova,Austria,0
2 17,f,2 17f,T,Moldova,Azerbaijan,1
2 17,f,2 17f,T,Moldova,Belarus,1
2 17,f,2 17f,T,Moldova,Belgium,2
2 17,f,2 17f,T,Moldova,Bulgaria,8
2 17,f,2 17f,T,Moldova,Croatia,0
2 17,f,2 17f,T,Moldova,Cyprus,0
2 17,f,2 17f,T,Moldova,Denmark,0
2 17,f,2 17f,T,Moldova,France,5
2 17,f,2 17f,T,Moldova,Germany,0
2 17,f,2 17f,T,Moldova,Greece,7
2 17,f,2 17f,T,Moldova,Hungary,0
2 17,f,2 17f,T,Moldova,Israel,0
2 17,f,2 17f,T,Moldova,Italy,4
2 17,f,2 17f,T,Moldova,Norway,0
2 17,f,2 17f,T,Moldova,Poland,0
2 17,f,2 17f,T,Moldova,Portugal,6
2 17,f,2 17f,T,Moldova,Romania,12
2 17,f,2 17f,T,Moldova,Spain,0
2 17,f,2 17f,T,Moldova,Sweden,3
2 17,f,2 17f,T,Moldova,Netherlands,0
2 17,f,2 17f,T,Moldova,Ukraine,0
2 17,f,2 17f,T,Moldova,United Kingdom,0
2 17,f,2 17f,T,Montenegro,Armenia,0
2 17,f,2 17f,T,Montenegro,Australia,0
2 17,f,2 17f,T,Montenegro,Austria,0
2 17,f,2 17f,T,Montenegro,Azerbaijan,5
2 17,f,2 17f,T,Montenegro,Belarus,0
2 17,f,2 17f,T,Montenegro,Belgium,4
2 17,f,2 17f,T,Montenegro,Bulgaria,6
2 17,f,2 17f,T,Montenegro,Croatia,12
2 17,f,2 17f,T,Montenegro,Cyprus,1
2 17,f,2 17f,T,Montenegro,Denmark,0
2 17,f,2 17f,T,Montenegro,France,2
2 17,f,2 17f,T,Montenegro,Germany,0
2 17,f,2 17f,T,Montenegro,Greece,0
2 17,f,2 17f,T,Montenegro,Hungary,7
2 17,f,2 17f,T,Montenegro,Israel,0
2 17,f,2 17f,T,Montenegro,Italy,1
2 17,f,2 17f,T,Montenegro,Moldova,3
2 17,f,2 17f,T,Montenegro,Norway,0
2 17,f,2 17f,T,Montenegro,Poland,0
2 17,f,2 17f,T,Montenegro,Portugal,8
2 17,f,2 17f,T,Montenegro,Romania,0
2 17,f,2 17f,T,Montenegro,Spain,0
2 17,f,2 17f,T,Montenegro,Sweden,0
2 17,f,2 17f,T,Montenegro,Netherlands,0
2 17,f,2 17f,T,Montenegro,Ukraine,0
2 17,f,2 17f,T,Montenegro,United Kingdom,0
2 17,f,2 17f,T,Norway,Armenia,0
2 17,f,2 17f,T,Norway,Australia,0
2 17,f,2 17f,T,Norway,Austria,0
2 17,f,2 17f,T,Norway,Azerbaijan,0
2 17,f,2 17f,T,Norway,Belarus,0
2 17,f,2 17f,T,Norway,Belgium,7
2 17,f,2 17f,T,Norway,Bulgaria,8
2 17,f,2 17f,T,Norway,Croatia,1
2 17,f,2 17f,T,Norway,Cyprus,0
2 17,f,2 17f,T,Norway,Denmark,0
2 17,f,2 17f,T,Norway,France,0
2 17,f,2 17f,T,Norway,Germany,0
2 17,f,2 17f,T,Norway,Greece,0
2 17,f,2 17f,T,Norway,Hungary,4
2 17,f,2 17f,T,Norway,Israel,0
2 17,f,2 17f,T,Norway,Italy,2
2 17,f,2 17f,T,Norway,Moldova,6
2 17,f,2 17f,T,Norway,Poland,3
2 17,f,2 17f,T,Norway,Portugal,12
2 17,f,2 17f,T,Norway,Romania,1
2 17,f,2 17f,T,Norway,Spain,0
2 17,f,2 17f,T,Norway,Sweden,5
2 17,f,2 17f,T,Norway,Netherlands,0
2 17,f,2 17f,T,Norway,Ukraine,0
2 17,f,2 17f,T,Norway,United Kingdom,0
2 17,f,2 17f,T,Poland,Armenia,0
2 17,f,2 17f,T,Poland,Australia,0
2 17,f,2 17f,T,Poland,Austria,0
2 17,f,2 17f,T,Poland,Azerbaijan,0
2 17,f,2 17f,T,Poland,Belarus,4
2 17,f,2 17f,T,Poland,Belgium,12
2 17,f,2 17f,T,Poland,Bulgaria,8
2 17,f,2 17f,T,Poland,Croatia,1
2 17,f,2 17f,T,Poland,Cyprus,0
2 17,f,2 17f,T,Poland,Denmark,0
2 17,f,2 17f,T,Poland,France,0
2 17,f,2 17f,T,Poland,Germany,0
2 17,f,2 17f,T,Poland,Greece,0
2 17,f,2 17f,T,Poland,Hungary,5
2 17,f,2 17f,T,Poland,Israel,0
2 17,f,2 17f,T,Poland,Italy,0
2 17,f,2 17f,T,Poland,Moldova,6
2 17,f,2 17f,T,Poland,Norway,0
2 17,f,2 17f,T,Poland,Portugal,1
2 17,f,2 17f,T,Poland,Romania,7
2 17,f,2 17f,T,Poland,Spain,0
2 17,f,2 17f,T,Poland,Sweden,3
2 17,f,2 17f,T,Poland,Netherlands,0
2 17,f,2 17f,T,Poland,Ukraine,2
2 17,f,2 17f,T,Poland,United Kingdom,0
2 17,f,2 17f,T,Portugal,Armenia,0
2 17,f,2 17f,T,Portugal,Australia,0
2 17,f,2 17f,T,Portugal,Austria,0
2 17,f,2 17f,T,Portugal,Azerbaijan,0
2 17,f,2 17f,T,Portugal,Belarus,0
2 17,f,2 17f,T,Portugal,Belgium,1
2 17,f,2 17f,T,Portugal,Bulgaria,8
2 17,f,2 17f,T,Portugal,Croatia,0
2 17,f,2 17f,T,Portugal,Cyprus,0
2 17,f,2 17f,T,Portugal,Denmark,0
2 17,f,2 17f,T,Portugal,France,6
2 17,f,2 17f,T,Portugal,Germany,0
2 17,f,2 17f,T,Portugal,Greece,0
2 17,f,2 17f,T,Portugal,Hungary,2
2 17,f,2 17f,T,Portugal,Israel,0
2 17,f,2 17f,T,Portugal,Italy,4
2 17,f,2 17f,T,Portugal,Moldova,12
2 17,f,2 17f,T,Portugal,Norway,0
2 17,f,2 17f,T,Portugal,Poland,0
2 17,f,2 17f,T,Portugal,Romania,7
2 17,f,2 17f,T,Portugal,Spain,5
2 17,f,2 17f,T,Portugal,Sweden,1
2 17,f,2 17f,T,Portugal,Netherlands,0
2 17,f,2 17f,T,Portugal,Ukraine,3
2 17,f,2 17f,T,Portugal,United Kingdom,0
2 17,f,2 17f,T,Romania,Armenia,0
2 17,f,2 17f,T,Romania,Australia,0
2 17,f,2 17f,T,Romania,Austria,0
2 17,f,2 17f,T,Romania,Azerbaijan,0
2 17,f,2 17f,T,Romania,Belarus,0
2 17,f,2 17f,T,Romania,Belgium,5
2 17,f,2 17f,T,Romania,Bulgaria,8
2 17,f,2 17f,T,Romania,Croatia,3
2 17,f,2 17f,T,Romania,Cyprus,0
2 17,f,2 17f,T,Romania,Denmark,0
2 17,f,2 17f,T,Romania,France,4
2 17,f,2 17f,T,Romania,Germany,0
2 17,f,2 17f,T,Romania,Greece,1
2 17,f,2 17f,T,Romania,Hungary,1
2 17,f,2 17f,T,Romania,Israel,0
2 17,f,2 17f,T,Romania,Italy,6
2 17,f,2 17f,T,Romania,Moldova,12
2 17,f,2 17f,T,Romania,Norway,0
2 17,f,2 17f,T,Romania,Poland,0
2 17,f,2 17f,T,Romania,Portugal,7
2 17,f,2 17f,T,Romania,Spain,0
2 17,f,2 17f,T,Romania,Sweden,2
2 17,f,2 17f,T,Romania,Netherlands,0
2 17,f,2 17f,T,Romania,Ukraine,0
2 17,f,2 17f,T,Romania,United Kingdom,0
2 17,f,2 17f,T,San Marino,Armenia,0
2 17,f,2 17f,T,San Marino,Australia,0
2 17,f,2 17f,T,San Marino,Austria,0
2 17,f,2 17f,T,San Marino,Azerbaijan,1
2 17,f,2 17f,T,San Marino,Belarus,0
2 17,f,2 17f,T,San Marino,Belgium,5
2 17,f,2 17f,T,San Marino,Bulgaria,12
2 17,f,2 17f,T,San Marino,Croatia,3
2 17,f,2 17f,T,San Marino,Cyprus,0
2 17,f,2 17f,T,San Marino,Denmark,0
2 17,f,2 17f,T,San Marino,France,0
2 17,f,2 17f,T,San Marino,Germany,0
2 17,f,2 17f,T,San Marino,Greece,0
2 17,f,2 17f,T,San Marino,Hungary,4
2 17,f,2 17f,T,San Marino,Israel,0
2 17,f,2 17f,T,San Marino,Italy,1
2 17,f,2 17f,T,San Marino,Moldova,8
2 17,f,2 17f,T,San Marino,Norway,0
2 17,f,2 17f,T,San Marino,Poland,0
2 17,f,2 17f,T,San Marino,Portugal,7
2 17,f,2 17f,T,San Marino,Romania,6
2 17,f,2 17f,T,San Marino,Spain,0
2 17,f,2 17f,T,San Marino,Sweden,2
2 17,f,2 17f,T,San Marino,Netherlands,0
2 17,f,2 17f,T,San Marino,Ukraine,0
2 17,f,2 17f,T,San Marino,United Kingdom,0
2 17,f,2 17f,T,Serbia,Armenia,0
2 17,f,2 17f,T,Serbia,Australia,0
2 17,f,2 17f,T,Serbia,Austria,0
2 17,f,2 17f,T,Serbia,Azerbaijan,0
2 17,f,2 17f,T,Serbia,Belarus,0
2 17,f,2 17f,T,Serbia,Belgium,3
2 17,f,2 17f,T,Serbia,Bulgaria,1
2 17,f,2 17f,T,Serbia,Croatia,5
2 17,f,2 17f,T,Serbia,Cyprus,0
2 17,f,2 17f,T,Serbia,Denmark,0
2 17,f,2 17f,T,Serbia,France,2
2 17,f,2 17f,T,Serbia,Germany,0
2 17,f,2 17f,T,Serbia,Greece,0
2 17,f,2 17f,T,Serbia,Hungary,12
2 17,f,2 17f,T,Serbia,Israel,0
2 17,f,2 17f,T,Serbia,Italy,6
2 17,f,2 17f,T,Serbia,Moldova,7
2 17,f,2 17f,T,Serbia,Norway,0
2 17,f,2 17f,T,Serbia,Poland,0
2 17,f,2 17f,T,Serbia,Portugal,8
2 17,f,2 17f,T,Serbia,Romania,4
2 17,f,2 17f,T,Serbia,Spain,0
2 17,f,2 17f,T,Serbia,Sweden,1
2 17,f,2 17f,T,Serbia,Netherlands,0
2 17,f,2 17f,T,Serbia,Ukraine,0
2 17,f,2 17f,T,Serbia,United Kingdom,0
2 17,f,2 17f,T,Slovenia,Armenia,0
2 17,f,2 17f,T,Slovenia,Australia,0
2 17,f,2 17f,T,Slovenia,Austria,0
2 17,f,2 17f,T,Slovenia,Azerbaijan,4
2 17,f,2 17f,T,Slovenia,Belarus,0
2 17,f,2 17f,T,Slovenia,Belgium,6
2 17,f,2 17f,T,Slovenia,Bulgaria,7
2 17,f,2 17f,T,Slovenia,Croatia,12
2 17,f,2 17f,T,Slovenia,Cyprus,0
2 17,f,2 17f,T,Slovenia,Denmark,0
2 17,f,2 17f,T,Slovenia,France,0
2 17,f,2 17f,T,Slovenia,Germany,0
2 17,f,2 17f,T,Slovenia,Greece,0
2 17,f,2 17f,T,Slovenia,Hungary,5
2 17,f,2 17f,T,Slovenia,Israel,0
2 17,f,2 17f,T,Slovenia,Italy,1
2 17,f,2 17f,T,Slovenia,Moldova,3
2 17,f,2 17f,T,Slovenia,Norway,0
2 17,f,2 17f,T,Slovenia,Poland,0
2 17,f,2 17f,T,Slovenia,Portugal,8
2 17,f,2 17f,T,Slovenia,Romania,2
2 17,f,2 17f,T,Slovenia,Spain,0
2 17,f,2 17f,T,Slovenia,Sweden,1
2 17,f,2 17f,T,Slovenia,Netherlands,0
2 17,f,2 17f,T,Slovenia,Ukraine,0
2 17,f,2 17f,T,Slovenia,United Kingdom,0
2 17,f,2 17f,T,Spain,Armenia,0
2 17,f,2 17f,T,Spain,Australia,0
2 17,f,2 17f,T,Spain,Austria,0
2 17,f,2 17f,T,Spain,Azerbaijan,0
2 17,f,2 17f,T,Spain,Belarus,0
2 17,f,2 17f,T,Spain,Belgium,4
2 17,f,2 17f,T,Spain,Bulgaria,1
2 17,f,2 17f,T,Spain,Croatia,0
2 17,f,2 17f,T,Spain,Cyprus,0
2 17,f,2 17f,T,Spain,Denmark,0
2 17,f,2 17f,T,Spain,France,3
2 17,f,2 17f,T,Spain,Germany,0
2 17,f,2 17f,T,Spain,Greece,0
2 17,f,2 17f,T,Spain,Hungary,0
2 17,f,2 17f,T,Spain,Israel,0
2 17,f,2 17f,T,Spain,Italy,8
2 17,f,2 17f,T,Spain,Moldova,6
2 17,f,2 17f,T,Spain,Norway,0
2 17,f,2 17f,T,Spain,Poland,0
2 17,f,2 17f,T,Spain,Portugal,12
2 17,f,2 17f,T,Spain,Romania,7
2 17,f,2 17f,T,Spain,Sweden,5
2 17,f,2 17f,T,Spain,Netherlands,2
2 17,f,2 17f,T,Spain,Ukraine,0
2 17,f,2 17f,T,Spain,United Kingdom,1
2 17,f,2 17f,T,Sweden,Armenia,0
2 17,f,2 17f,T,Sweden,Australia,0
2 17,f,2 17f,T,Sweden,Austria,0
2 17,f,2 17f,T,Sweden,Azerbaijan,0
2 17,f,2 17f,T,Sweden,Belarus,0
2 17,f,2 17f,T,Sweden,Belgium,12
2 17,f,2 17f,T,Sweden,Bulgaria,7
2 17,f,2 17f,T,Sweden,Croatia,2
2 17,f,2 17f,T,Sweden,Cyprus,0
2 17,f,2 17f,T,Sweden,Denmark,0
2 17,f,2 17f,T,Sweden,France,0
2 17,f,2 17f,T,Sweden,Germany,0
2 17,f,2 17f,T,Sweden,Greece,0
2 17,f,2 17f,T,Sweden,Hungary,4
2 17,f,2 17f,T,Sweden,Israel,0
2 17,f,2 17f,T,Sweden,Italy,1
2 17,f,2 17f,T,Sweden,Moldova,8
2 17,f,2 17f,T,Sweden,Norway,6
2 17,f,2 17f,T,Sweden,Poland,5
2 17,f,2 17f,T,Sweden,Portugal,1
2 17,f,2 17f,T,Sweden,Romania,3
2 17,f,2 17f,T,Sweden,Spain,0
2 17,f,2 17f,T,Sweden,Netherlands,0
2 17,f,2 17f,T,Sweden,Ukraine,0
2 17,f,2 17f,T,Sweden,United Kingdom,0
2 17,f,2 17f,T,Switzerland,Armenia,0
2 17,f,2 17f,T,Switzerland,Australia,0
2 17,f,2 17f,T,Switzerland,Austria,0
2 17,f,2 17f,T,Switzerland,Azerbaijan,0
2 17,f,2 17f,T,Switzerland,Belarus,0
2 17,f,2 17f,T,Switzerland,Belgium,7
2 17,f,2 17f,T,Switzerland,Bulgaria,6
2 17,f,2 17f,T,Switzerland,Croatia,8
2 17,f,2 17f,T,Switzerland,Cyprus,0
2 17,f,2 17f,T,Switzerland,Denmark,0
2 17,f,2 17f,T,Switzerland,France,2
2 17,f,2 17f,T,Switzerland,Germany,3
2 17,f,2 17f,T,Switzerland,Greece,0
2 17,f,2 17f,T,Switzerland,Hungary,5
2 17,f,2 17f,T,Switzerland,Israel,0
2 17,f,2 17f,T,Switzerland,Italy,1
2 17,f,2 17f,T,Switzerland,Moldova,0
2 17,f,2 17f,T,Switzerland,Norway,0
2 17,f,2 17f,T,Switzerland,Poland,0
2 17,f,2 17f,T,Switzerland,Portugal,12
2 17,f,2 17f,T,Switzerland,Romania,4
2 17,f,2 17f,T,Switzerland,Spain,0
2 17,f,2 17f,T,Switzerland,Sweden,1
2 17,f,2 17f,T,Switzerland,Netherlands,0
2 17,f,2 17f,T,Switzerland,Ukraine,0
2 17,f,2 17f,T,Switzerland,United Kingdom,0
2 17,f,2 17f,T,Netherlands,Armenia,0
2 17,f,2 17f,T,Netherlands,Australia,0
2 17,f,2 17f,T,Netherlands,Austria,0
2 17,f,2 17f,T,Netherlands,Azerbaijan,0
2 17,f,2 17f,T,Netherlands,Belarus,0
2 17,f,2 17f,T,Netherlands,Belgium,1
2 17,f,2 17f,T,Netherlands,Bulgaria,8
2 17,f,2 17f,T,Netherlands,Croatia,3
2 17,f,2 17f,T,Netherlands,Cyprus,0
2 17,f,2 17f,T,Netherlands,Denmark,0
2 17,f,2 17f,T,Netherlands,France,0
2 17,f,2 17f,T,Netherlands,Germany,0
2 17,f,2 17f,T,Netherlands,Greece,0
2 17,f,2 17f,T,Netherlands,Hungary,6
2 17,f,2 17f,T,Netherlands,Israel,0
2 17,f,2 17f,T,Netherlands,Italy,2
2 17,f,2 17f,T,Netherlands,Moldova,5
2 17,f,2 17f,T,Netherlands,Norway,0
2 17,f,2 17f,T,Netherlands,Poland,1
2 17,f,2 17f,T,Netherlands,Portugal,12
2 17,f,2 17f,T,Netherlands,Romania,7
2 17,f,2 17f,T,Netherlands,Spain,0
2 17,f,2 17f,T,Netherlands,Sweden,4
2 17,f,2 17f,T,Netherlands,Ukraine,0
2 17,f,2 17f,T,Netherlands,United Kingdom,0
2 17,f,2 17f,T,Ukraine,Armenia,0
2 17,f,2 17f,T,Ukraine,Australia,0
2 17,f,2 17f,T,Ukraine,Austria,0
2 17,f,2 17f,T,Ukraine,Azerbaijan,0
2 17,f,2 17f,T,Ukraine,Belarus,8
2 17,f,2 17f,T,Ukraine,Belgium,5
2 17,f,2 17f,T,Ukraine,Bulgaria,2
2 17,f,2 17f,T,Ukraine,Croatia,0
2 17,f,2 17f,T,Ukraine,Cyprus,0
2 17,f,2 17f,T,Ukraine,Denmark,0
2 17,f,2 17f,T,Ukraine,France,6
2 17,f,2 17f,T,Ukraine,Germany,0
2 17,f,2 17f,T,Ukraine,Greece,0
2 17,f,2 17f,T,Ukraine,Hungary,4
2 17,f,2 17f,T,Ukraine,Israel,0
2 17,f,2 17f,T,Ukraine,Italy,0
2 17,f,2 17f,T,Ukraine,Moldova,12
2 17,f,2 17f,T,Ukraine,Norway,1
2 17,f,2 17f,T,Ukraine,Poland,0
2 17,f,2 17f,T,Ukraine,Portugal,1
2 17,f,2 17f,T,Ukraine,Romania,3
2 17,f,2 17f,T,Ukraine,Spain,0
2 17,f,2 17f,T,Ukraine,Sweden,7
2 17,f,2 17f,T,Ukraine,Netherlands,0
2 17,f,2 17f,T,Ukraine,United Kingdom,0
2 17,f,2 17f,T,United Kingdom,Armenia,0
2 17,f,2 17f,T,United Kingdom,Australia,0
2 17,f,2 17f,T,United Kingdom,Austria,0
2 17,f,2 17f,T,United Kingdom,Azerbaijan,0
2 17,f,2 17f,T,United Kingdom,Belarus,0
2 17,f,2 17f,T,United Kingdom,Belgium,3
2 17,f,2 17f,T,United Kingdom,Bulgaria,12
2 17,f,2 17f,T,United Kingdom,Croatia,5
2 17,f,2 17f,T,United Kingdom,Cyprus,0
2 17,f,2 17f,T,United Kingdom,Denmark,0
2 17,f,2 17f,T,United Kingdom,France,0
2 17,f,2 17f,T,United Kingdom,Germany,0
2 17,f,2 17f,T,United Kingdom,Greece,0
2 17,f,2 17f,T,United Kingdom,Hungary,1
2 17,f,2 17f,T,United Kingdom,Israel,0
2 17,f,2 17f,T,United Kingdom,Italy,2
2 17,f,2 17f,T,United Kingdom,Moldova,6
2 17,f,2 17f,T,United Kingdom,Norway,0
2 17,f,2 17f,T,United Kingdom,Poland,1
2 17,f,2 17f,T,United Kingdom,Portugal,8
2 17,f,2 17f,T,United Kingdom,Romania,7
2 17,f,2 17f,T,United Kingdom,Spain,0
2 17,f,2 17f,T,United Kingdom,Sweden,4
2 17,f,2 17f,T,United Kingdom,Netherlands,0
2 17,f,2 17f,T,United Kingdom,Ukraine,0
